房号,科目,账期,应收,减免,实收,状态
1-1-701,物业费,2025-10,190.35,0,0,未缴
1-1-701,物业费,2025-11,190.35,0,0,未缴
1-1-701,物业费,2025-12,190.35,0,0,未缴
1-1-701,物业费,2026-01,190.3499999999999,0,0,未缴
1-1-702,物业费,2025-08,190.85,0,0,未缴
1-1-702,物业费,2025-09,190.85,0,0,未缴
1-1-702,物业费,2025-10,190.85,0,0,未缴
1-1-702,物业费,2025-11,190.85,0,0,未缴
1-1-702,物业费,2025-12,190.85,0,0,未缴
1-1-702,物业费,2026-01,190.8499999999999,0,0,未缴
1-1-801,物业费,2025-08,191.77,0,0,未缴
1-1-801,物业费,2025-09,191.77,0,0,未缴
1-1-801,物业费,2025-10,191.77,0,0,未缴
1-1-801,物业费,2025-11,191.77,0,0,未缴
1-1-801,物业费,2025-12,191.77,0,0,未缴
1-1-801,物业费,2026-01,191.7700000000001,0,0,未缴
1-1-802,物业费,2025-08,192.27,0,0,未缴
1-1-802,物业费,2025-09,192.27,0,0,未缴
1-1-802,物业费,2025-10,192.27,0,0,未缴
1-1-802,物业费,2025-11,192.27,0,0,未缴
1-1-802,物业费,2025-12,192.27,0,0,未缴
1-1-802,物业费,2026-01,192.2700000000001,0,0,未缴
1-1-901,物业费,2025-08,193.19,0,0,未缴
1-1-901,物业费,2025-09,193.19,0,0,未缴
1-1-901,物业费,2025-10,193.19,0,0,未缴
1-1-901,物业费,2025-11,193.19,0,0,未缴
1-1-901,物业费,2025-12,193.19,0,0,未缴
1-1-901,物业费,2026-01,193.18999999999983,0,0,未缴
1-1-902,物业费,2025-08,193.7,0,0,未缴
1-1-902,物业费,2025-09,193.7,0,0,未缴
1-1-902,物业费,2025-10,193.7,0,0,未缴
1-1-902,物业费,2025-11,193.7,0,0,未缴
1-1-902,物业费,2025-12,193.7,0,0,未缴
1-1-902,物业费,2026-01,193.69999999999982,0,0,未缴
1-1-1001,物业费,2025-08,194.6,0,0,未缴
1-1-1001,物业费,2025-09,194.6,0,0,未缴
1-1-1001,物业费,2025-10,194.6,0,0,未缴
1-1-1001,物业费,2025-11,194.6,0,0,未缴
1-1-1001,物业费,2025-12,194.6,0,0,未缴
1-1-1001,物业费,2026-01,194.5999999999999,0,0,未缴
8-302,物业费,2026-01,150.0,0,0,未缴
